,Text
10,"The main concern is that debiased techniques may remove simple biased features. However, to our knowledge, most debiased techniques (Rathore et al., 2021) can only remove biases across a concept subspace (e.g., the bias direction for gender) in the embedding space. Another setup of data debiasing, e.g., He et al. (2019), requires hypothesized biases to train biased models and is limited to tasks with known hypothesized biases (e.g., lexical overlap for NLI). Also, they remove biased examples rather than identify biased symbols (e.g., label hints). However, we still expect future works to consider other complicated patterns beyond symbol insertions or word substitution."
11,"We are optimistic that the algorithmic workflow presented in this paper can be generalized to other languages. When the victim models are in languages other than Chinese and English, however, we also acknowledge the uncertainty in achieving a high attack success rate while at the same time achieving fluency in generated examples. In addition, because of the variation in linguistic structures
across different languages, further efforts are required to design language-specific transformation methods (such as the homophone and morphonym transformations for the Chinese language case in this paper)."
12,"To recruit participants who are more likely to write posts in other languages, our recruitment was restricted to bi/multilingual individuals residing in the US. Due to these criteria, most participants in both studies were Spanish speakers and writers, which is the second most common language spoken in the US. Since Spanish is a rich-resourced language, findings about the quality or accuracy
of MT may be different if we consider a more linguistically diverse participant sample. Future work could recruit global bi/multi-lingual participants to understand broader perceptions of machine translation.
Our discussion section advocates for a number of control features that are currently not available in SNS. Our results suggest that these features would make users more comfortable with MT, but this suggestion would ideally be confirmed with a controlled experiment. Our future research will be focused on designing the proposed controls. In particular, we plan to conduct an experiment on prototypes of three different translation features: one allowing the user to read but not edit the MT, one allowing the user to add a translation manually, and one allowing the user to read and edit the MT if there are any errors. Each prototype will also have an option to include/not include the translation with each post. This experiment will measure which features most improves users’ perceived control, perceived satisfaction, ease of use, and intention to use MT."
13,"limitations. our modification utilizes sense embeddings. since the senses were not mapped to an external inventory, the senses cannot be interpreted. apart from the lack of interpretability, sense embeddings are superseded by contextual embeddings derived from transformer models with sense awareness (huang et al., 2019; levine et al., 2020; scarlini et al., 2020). while sense embeddings and contextual embeddings are not mutually exclusive, it is necessary to alternate between them for the purpose of privatization and optimization."
14,"limitations through our work, we analyze various sentiment and toxicity analysis models to determine if they show an ableist viewpoint. the results depict a statically significant presence of disability bias, and we publish our method for any individual to access and use. this step is crucial in the field of nlp to mention the ramifications a given model can have on society. one limitation of this work is that we analyze models that are trained in the english language. we understand that the social concept of disability can change for various cultures and languages. the scope of this paper for now only looks into one language. ethical statement the paper provides a method to parameterize ableist bias in nlp models, but we acknowledge that this is not the sole method that can be used for identification. the work is limited only to identification in sentiment analysis and toxicity detection models. there can be other methods of identification that are rapidly being worked on which may not have been included in this process. we also understand the effects various other forms of social biases can have when viewed alongside disability bias. we, therefore, will be working on measuring the combination of social biases through a cultural lens for the future."
15,"limitations our work only preliminarily explores the field of textual adversarial attack on chinese minority languages and evaluates the robustness of the tibetan part in the first chinese minority multilingual plm. the textual adversarial attack is a major threat in the information processing of chinese minority languages. we hope our attack method, experiment results, and"
16,"limitation (see ‘limitations’ section), we would like to underline that our primary goal of this article is to highlight the ample possibility of data leakage and the impossibility of verifying the lack of data leakage with a closed model. as long as the trend of closed models and continuous training loop continues, it will become more challenging to prevent data leakage (training-test data contamination) and ensure fair evaluation of models. therefore, in order to ensure the fair evaluability of the models, we argue that the model creators should (1) pay closer attention to the training datasets and document potential data contamination, (2) create mechanisms through which the training datasets and models can be scrutinized regarding data leakage, and (3) build systems that can prevent data contamination from user inputs."
17,"limitations in this paper we attempt to understand model responses using multiple prompts, and 2 different set- tings (tokens and full text). the gpt-3 responses were too inconsistent. we attempt at explaining our findings by analyzing the full text responses, but a more thorough analysis of the full text responses would shed more light into how these models behave. this will require extensive manual analysis of each statement and prompt response. currently we do not explore every kind of full text response for each category type and prompt. more work needs to be done to systematically analyze the full text responses and connect them to the token responses and confidence scores. besides, text-davinci-003 was the best performing llm when we started experimentation. recently released chatgpt api and gpt-4 from openai, and other open source models were not analysed in this study, but one could extend our study to any class of llms to assess llm quality as well as the differences among them."
18,"limitations. we note that directing the substitution to candidates with matching grammatical categories incurs additional information leakage that is not accounted for by our modification. too remedy the unaccounted information leakage, one could recast the candidate selection through the exponential mechanism (mcsherry and talwar, 2007)."
19,"limitations of its representation of the depth of collaboration in wikipedia corpora. we also quantified the bot activities in the wikipedia project and excluded the bot-created articles and the bot-made edits on wikipedia articles. we lastly proposed the depth+ metric, defined its formal definitions, and highlighted its features, including a better representation of the depth of collaborativeness, a user-centered depth metric, and bot-free wikipedia editions after the removal of the bot-generated articles and the bot-made edits on those wikipedia editions’ articles. we hypothesize that a metric that is a better measure of authentic human collaborativeness will be a better measure of the degree to which corpora authentically represents the language and the culture of native speakers. one key aspect of our future work is to find ways to test this hypothesis. specifically, we aim to examine the performance and societal implications of training llms on unrepresentative and inorganic corpora, particularly on the bot-generated wikipedia articles. reproducibility data collection, implementation of the depth+ metric, and an expanded technical report can be found on github at https://github.com/saiedalshahrani/depthplus."
20,"limitations presenting significant obstacles for our project, we were still able to create high-quality fake scientific papers. nonetheless, we believe there is room for improvement in addressing such limitations. due to the complexity of parsing pdfs, we are currently limited to specific sections (abstract, introduction,"
21,limitations and further enhance the utility of our benchmark for the research community. we release a repository containing our benchmark dataset as well as the code used for experimental results8.
22,"limitations to our knowledge, the current study is the first effort in the ml community aiming to define pi and estimate how much of it is present in two major training corpora, c4 and the pile. however, we recognize that there are ways in which our study can be improved, and directions in which future studies can be conducted. to start with, when annotating the pi found both by using presidio and regular expressions, we observed that new forms of pi have appeared with the advent of the internet, but have yet to be considered in traditional definitions (e.g. facebook events urls), despite their potential for risk. also, given the diversity of types of pi that exist, it is unsurprising that systematically detecting them remains a challenge. as we reported section 4, we found that both presidio and regular expressions were able to detect certain types of pi, such as emails and phone numbers, relatively well, but failed on other types, such as ssns and credit cards; however, without access to ground truth annotations, measuring and characterizing false negatives is impossible. other limitations of both types of approaches is that they are language- and often country-specific, and need to be adapted to contexts of application and languages. this can quickly become complex, because the format of common types of pi such as bank account numbers varies immensely depending on its country of provenance. finally, linguistic characteristics of individual languages make it difficult for multi-lingual pi detection since features that are relevant towards pi detection in some languages are not relevant for others; more work on developing more modular and extensive pi detection tools would be an important contribution to many communities and endeavors, and it is conceivable that ml-based approaches can contribute to these efforts. broader impact statement our work endeavors to help the nlp community better understand and quantify the types and quantity of personal information contained in popular training corpora. in order to strive towards this goal, we manually annotated a subset of the personal information detected in c4, which constitutes a dataset that could be valuable to the community. however, given the quantity of high-risk personal information that this sample contains, we do not feel comfortable disseminating it. we are, however, working on methods for developing synthetic and lower-risk labeled corpora to help develop better methods for detecting pi. as large language model development is increasing dramatically, more models will be trained on these data sources, so its becoming increasingly important to quantify and characterize the personal information present in datasets as well as help practitioners develop better pi detection methods."
23,"limitations while we endeavor in this work to shed light on the impact of various pseudonymization techniques, we recognize a major limitation of our work – especially the llm-based pseudonymization approach. using closed-source llms may not be an acceptable solution for many settings since it requires sending a (potentially sensitive) text to a third-party api, which, in the absence of appropriate legal safeguards and responsible-use agreements, defeats the purpose of privacy preservation. there are some more technical limitations of the work, such as the following: • while this is a problem that affects sensitive texts in all languages, all the experiments were conducted for data in the english language only. • llms are highly sensitive to prompts, as well as the number and ordering of examples provided for few-shot learning. in this work, we experimented with a limited number of prompts for llm-ps due to api cost constraints. • for the data privacy detection experiment, the flair ner system was trained using the conll-2003 dataset, which might affect its performance for privacy protection tasks. this may also apply to gpt-3 and chatgpt models as the authors do not state specifically on which data they were trained. • we considered only a limited part of named entity types, specifically, person (per), location (loc), and organization (org), whereas it is well understood that pii encom- passes a much broader range of data types (eg. dates, phone numbers, etc.). we also do not consider sentiments associated with named entities used for substitution in the downstream task of text classification. we plan to address these in future work."
24,"limitations the models used in this work are small, compared to the large language models (llms) used in many language generation tasks today. to attempt to show possible impacts of scale, two different sized models were employed in this work and show similar results, so it is likely that the method proposed here would scale to larger models. training dynamics were not altered between the two model sizes, which is a potential area for improvement. more sophisticated methods of inserting backdoors could also be employed than training one into the model, but this seemed to work well. ethical statement this work attempts to improve the state of watermarking llms in order to demonstrate ownership. our hope is to help improve the space of responsible llm usage by helping model creators assert or demonstrate ownership of their models, although there are probably applications of watermarks that we have not considered that may be detrimental. this work does expose ways to find watermarks, which could be used by a potential adversary who had stolen a model and was attempting to use it illicitly. however, we believe that disclosure of vulnerabilities allows stronger system construction and is preferred over security by obscurity."
25,"limitation of requiring knowledge of models and training data, we extract simple patterns (e.g., label hints and answer hints) from the min-min optimization to make text unlearnable. although our experiment explores patterns for text classification and question-answering tasks, the pipeline potentially works for any nlp task. reproducibility. to ensure the effectiveness of unlearnable modifications, we slightly tuned the training hyperparameters to achieve well-trained models, such as setting maximum gradient norms and early stopping according to validation sets. we open-source codes with configuration files, which contain hyperparameters regarding model architectures (e.g., the number of layers), batching (e.g., data sampling), and training setups (e,g., learning rate). since these files are configurable in json format, future works can easily reproduce and extend the experiments."
26,"limitations although we have shown that the overall performance of imbert is superior, we mainly target insertion-based backdoor attacks. however, substitution-based attacks have been recently investigated and proven to be a practical approach in text classification (qi et al., 2021c) and machine translation (wang et al., 2021; xu et al., 2021). it is unknown whether imbert can effectively adapt to these attacks. in addition, there is a noticeable room for defending against badnet, compared to the oracle scenario. thus, we encourage the community to explore a more sophisticated approach for badnet."
27,"limitations. for authors, the editing of posts would only be possible for output languages that they can read and write in. furthermore, authors’ ability to edit the translations of their posts could result in ethical concerns, as this feature may be used to create language-specific misinformation. a solution to this problem is to present the reader with both the original machine translation and the user-edited version. alternative solutions include allowing users to disallow the automatic translation of posts on a case-by-case basis, or to filter the audience of a post based on its original language. this aligns with the fact that users’ language choices are intentional, and depend heavily on the topic of the post and the target audience [13]: many purposely write posts in a certain language as a means to target those who speak that language. overall, we see a substantial benefit in making sns users aware of how their posts are translated and shared with others, and in allowing them to remove the translation if the post was meant to be targeted to a specific audience or correcting the translation to preserve the original meaning of the post. together, these design solutions would ensure users that their information is conveyed accurately and only to their intended audiences."
28,"limitations our methodology is currently tested with only english. we conjecture that the methodology should be applicable to other languages, but may be limited by the capacity of llms in those specific languages. it is possible that value-aligned knowledge distillation may be more difficult with languages from countries and regions that do not have a complete set of human value definitions. thus, exploring the value-aligned task in different languages other than english is a promising research direction. our main experimental results are based on a 175b parameter model, which requires large gpu resources or access through an api. this may hinder other researchers from reproducing experimental results. additionally, we explored different sizes of llm including 1b and 6b models, which do not require large gpu resources, and showed they can achieve comparable results. we hope they can be possible alternative options for researchers who may not have access to 100b+ models. although sexism is a suitable case study for us to investigate the feasibility of the value alignment task as we have shown throughout this work, it is still one domain. further expansion to different domains or value-aligned classification tasks such as the detection of racism, toxicity, other than sexism, are needed."
